0000000001 01 transactions clearing E                           
0000000002 02 20260226COB  09:00:18TN0001000108MONOPRIX          000025700000024TUN VAL   00100000007UNION CAP 0010000000050000000067000000000000335002884445         50651                                                                              
0000000003 02 20260226COB  10:10:25TN0001100254SFBT              000486500000009AFC       00100000009AFC       0010000000710000000133900000000009506906939/2600386    6941/2000043                                                                       
0000000004 02 20260226COB  10:13:32TN0001100254SFBT              000512100000009AFC       00100000009AFC       0010000002210000000133900000000029591906943/2600388    6944/2000030                                                                       
0000000005 02 20260226COB  11:38:06TN0001100254SFBT              002227300000018MAC       00100000013CGI       00900000050000000001340000000000670000053374           MG0B                                                                               
0000000006 02 20260226COB  11:38:06TN0001100254SFBT              002278500000018MAC       00100000013CGI       00900000012200000001340000000000163480053374           MG0B                                                                               
0000000007 02 20260226COB  11:38:28TN0001100254SFBT              002380900000018MAC       00100000013CGI       00900000050000000001340000000000670000038627           MG0B                                                                               
0000000008 02 20260226COB  11:38:28TN0001100254SFBT              002406500000018MAC       00100000013CGI       00900000200000000001340000000002680000038627           MG0B                                                                               
0000000009 02 20260226COB  11:38:50TN0001100254SFBT              002432100000018MAC       00100000013CGI       00900000005000000001340000000000067000038627           MG0B                                                                               
0000000010 02 20260226COB  11:38:18TN0001100254SFBT              002304100000024TUN VAL   00100000013CGI       0090000005000000000134000000000067000002885279         MG0B                                                                               
0000000011 02 20260226COB  11:38:18TN0001100254SFBT              002355300000024TUN VAL   00100000013CGI       0090000003580000000134000000000047972002885279         MG0B                                                                               
0000000012 02 20260226COB  09:00:20TN0001100254SFBT              000025700000024TUN VAL   00100000014BNAC      0010000000830000000134900000000011196702884465         161980                                                                             
0000000013 02 20260226COB  11:41:34TN0001100254SFBT              002483300000024TUN VAL   00100000014BNAC      0010000000020000000134500000000000269002885288         162130                                                                             
0000000014 02 20260226COB  11:41:53TN0001100254SFBT              002508900000024TUN VAL   00100000014BNAC      0010000004380000000134500000000058911002885291         162130                                                                             
0000000015 02 20260226COB  10:43:29TN0001100254SFBT              001254500000014BNAC      01300000018MAC       001000002500000000013300000000033250000158557          63834                                                                              
0000000016 02 20260226COB  10:43:29TN0001100254SFBT              001305700000014BNAC      01300000018MAC       001000000385000000013300000000005120500158557          63834                                                                              
0000000017 02 20260226COB  10:41:48TN0001100254SFBT              001024100000015AMEN INV  01300000018MAC       001000000566000000013400000000007584400768353          LIBRE                                                                              
0000000018 02 20260226COB  10:41:48TN0001100254SFBT              001049700000015AMEN INV  01300000018MAC       001000000434000000013400000000005815600768353          LIBRE                                                                              
0000000019 02 20260226COB  10:42:21TN0001100254SFBT              001075300000015AMEN INV  01300000018MAC       001000000566000000013400000000007584400768356          LIBRE                                                                              
0000000020 02 20260226COB  10:42:21TN0001100254SFBT              001100900000015AMEN INV  01300000018MAC       001000000514000000013400000000006887600768356          LIBRE                                                                              
